"ES.ID","yi","vi","direction","SE","parental","Study.ID","Cross.ID","File","Source","Study.name","Genus","spL.name","spS.name","species.pair","Female.pref","homologous","trait.type","trait","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Bottleneck.spLF","Bottleneck.spLM","Bottleneck.spSF","Bottleneck.spSM","pheno.div.diff","pheno.div.ratio","reciprocal","distribution","source_distribution","taxa","souce_sex.determinaton","sex.determination","hetero.sex","divergence.cytb","divergence.COI","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","sq.divergence.COI"
"ES292",0.751078970307104,0.139972372019639,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Upsweep_entropycentre",0.1996,0.0182159880934914,NA,NA,NA,NA,0.192,0.00804155872120989,NA,0.2055,0.0124498995979887,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.63720615719626,-0.639264462294782,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES293",0.882529935176676,0.14039960065227,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Upsweep_peakfrequmax",70628.7162,7823.23057071591,NA,NA,NA,NA,75226.5405714286,3353.00570093068,NA,77823.1835,5399.81264000845,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.434194580712449,-0.534627192843621,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES294",0.871424092791163,0.140460834075219,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Upsweep_minfreqmax",69142.0198,7795.79570980055,NA,NA,NA,NA,73565.3675714286,3374.99696369018,NA,75957.82125,5436.73839358215,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.377803580948265,-0.539232233934597,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES295",0.853279223274762,0.140326199822119,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Upsweep_maxfrequmax",73062.2498,7849.43685746637,NA,NA,NA,NA,77772.7288571429,3462.06009965519,NA,80373.00875,5426.36634526294,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.451512758223639,-0.537149355943565,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES297",1.53607313206573,0.139810354569918,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Upsweep_entropymax",0.1923,0.0179074782640599,NA,NA,NA,NA,0.184285714285714,0.00359231985000806,NA,0.19775,0.0121757956618859,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637206224210356,-0.641089382677457,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES298",1.36639086644877,0.815104982641289,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Upsweep_FAC1_1",0.349003137348762,0.870120636650144,NA,NA,NA,NA,1.13171470261071,0.699853835231466,NA,1.07302535402063,0.631990453918509,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637099214281415,1.04738161905381,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES299",0.00913380604926976,0.155193313858684,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_meanduration",0.0342,0.0090529307716096,NA,NA,NA,NA,0.0188571428571429,0.00481070235442365,NA,0.02675,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637205926369926,-0.305395806483932,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES303",-0.208680479189044,0.143389113334741,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_bandwstart",3869.6487,469.943025013321,NA,NA,NA,NA,3697.40257142857,538.065878317222,NA,3938.6365,407.466382633382,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.626933357822794,-0.656931895324563,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES304",0.249460020316305,0.141709956199192,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_entropystart",0.1974,0.0245727943511157,NA,NA,NA,NA,0.178,0.0167928556237467,NA,0.194,0.0162685791225499,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637206529496797,-0.657389625112708,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES308",-0.94439906856409,0.149062195881763,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_bandwend",4364.919,441.707503323686,NA,NA,NA,NA,4429.13314285714,1120.88457346277,NA,4104.43175,319.232008954172,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.598415218572076,-0.589311225686189,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES309",-0.506213707674748,0.145456774537597,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_entropyend",0.2101,0.0247855244492064,NA,NA,NA,NA,0.2,0.0380701107607179,NA,0.19575,0.012737739202857,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637204898820443,-0.575107741671477,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES314",1.16815326799316,0.139831224594265,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_entropycentre",0.1996,0.0182220867203634,NA,NA,NA,NA,0.189857142857143,0.00524177360024167,NA,0.20275,0.00928708781050335,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637206566726851,-0.660034604341244,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES319",0.207603645096585,0.140376117975478,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_entropymax",0.1937,0.0171726526780227,NA,NA,NA,NA,0.185,0.0129614813968157,NA,0.199,0.0115181016954473,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637206246548389,-0.642558148131457,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES320",0.738557283056889,0.238786685078468,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Frequ Modulated Downsweep_FAC2_1",0.761831542564294,0.665653288138168,NA,NA,NA,NA,1.24412532111168,0.505170722218582,NA,2.08869485972538,1.11363147737084,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637009439055169,0.870723886925154,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES326",-0.719374664088276,0.165934599302472,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_bandwstart",3561.5091,715.741537109816,NA,NA,NA,NA,3144.05224793827,1261.73639132323,NA,3756.66675,157.621283108966,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.608144116644596,-0.601929362463368,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES327",-2.75350594542767,1.0681283342195,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_entropystart",0.1876,0.0312914613841469,NA,NA,NA,NA,0.490225616518109,1.24841137146494,NA,0.186,0.00408248290463863,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637206797553184,-0.670969743036354,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES328",-1.18509000857893,0.163659923700546,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_peakfrequend",67522.4211,8547.37911919303,NA,NA,NA,NA,64144.7233062481,25832.1297413333,NA,69355.75775,7543.93121041995,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.364186147890111,-0.642873875982017,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES329",-1.18156074384238,0.163593861912883,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_minfreqend",66277.7084,8406.31818784635,NA,NA,NA,NA,62735.7946402558,25225.2407203015,NA,67679.92425,7694.13379327465,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.428388750081819,-0.651898117108386,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES330",-1.23053094265261,0.163464484149998,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_maxfrequend",70072.8344,8466.49399266347,NA,NA,NA,NA,66204.704957512,26631.2674949035,NA,72289.77275,7207.91611262022,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.307060100283124,-0.63615518532091,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES332",-3.09118963992714,1.04009919704705,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_entropyend",0.1918,0.0224934558384333,NA,NA,NA,NA,0.496759761854125,1.24674277290407,NA,0.20625,0.0107819293264239,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637204883928422,-0.572193042691752,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES333",-1.25014977540309,0.163428287399743,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_peakfrequcentre",68809.862,8155.69705938586,NA,NA,NA,NA,63366.9744457534,25500.1528586405,NA,68660.68175,7663.49485368559,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.614991080933978,-0.680828839620359,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES334",-1.23291735093727,0.163461004425121,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_minfreqcenter",67349.2843,8118.60064674092,NA,NA,NA,NA,61936.1854556733,24915.9881116986,NA,67142.27275,7703.64707362062,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.606378831308978,-0.679428873141911,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES335",-1.28605673559047,0.163283160512043,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_maxfreqcenter",71150.9535,8127.7818883611,NA,NA,NA,NA,65518.2060007003,26340.0697981856,NA,71632.0455,7409.14985066535,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.565562711790101,-0.673785715567096,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES337",-3.37451236578812,1.02838785675691,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_entropycentre",0.1901,0.0166896508185296,NA,NA,NA,NA,0.499516239114063,1.24589977993302,NA,0.199,0.0134412301024373,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637205710435615,-0.613635592502185,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES338",-1.22543112311913,0.163330029958938,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_peakfrequmax",68911.7817,8343.31689129687,NA,NA,NA,NA,63978.4102443745,25657.4176630409,NA,68920.4545,7723.19456008637,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.635915480585585,-0.683980842599133,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES339",-1.20488444979308,0.163404150831384,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_minfreqmax",67480.7775,8341.8147142403,NA,NA,NA,NA,62686.62733218,25145.8487055218,NA,67252.9545,7730.31449702712,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.60327958570222,-0.67896113341484,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES340",-1.25969109937246,0.163254043854124,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_maxfrequmax",71293.2103,8344.54296799413,NA,NA,NA,NA,66036.0423216321,26494.06387329,NA,71630.75775,7551.5296523871,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.586939397026437,-0.676892751849941,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES342",-3.40922212156476,1.05525331048935,"+",0.439910962495049,"Father","s19","musculus.3","Musolf_2015.PLOS1","S2","Musolf et al_2015","Mus","Mus_musculus_musculus","Mus_musculus_domesticus","Mus_musculus_domesticus_Mus_musculus_musculus","?","Yes","sound","Constant Modulated_entropymax",0.1878,0.0161644328353608,NA,NA,NA,NA,0.49283587293493,1.24769896424312,NA,0.19975,0.0156498136304132,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.637205256228959,-0.589069658596341,"Inviable","Allopatry","original study","Rodentia","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","XY","Male",-1.50863830616573,-1.53760200210104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N of indv_genetic distance_first 20 sequences were used_respectively",NA,0.156197714236413
"ES343",-0.114855156670146,0.186023304539196,"+",0.468320982069382,"Father","s20","Drosophila_montana_Drosophila_virilis","Paallysaho_2003.Drosophila.song.BehavGen","table1","Paallysaho et al_2003","Drosophila","Drosophila_montana","Drosophila_virilis","Drosophila_montana_Drosophila_virilis",NA,"Yes","sound","PI",20.7,2.71,NA,NA,NA,NA,20,2.74,NA,19.7,1.25,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,-0.637058115610609,-0.607838092482558,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",NA,-1.04575749056068,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,0.0195887928952876
